Slot,0,2,4,6,8,10,12,14
S/N,458,493,489,405,428,420,370,377
0,TOF-N-1,TOF-N-25,TOF-S-5,TOF-S-29,TOF-UP-9,TOF-UP-33,TOF-DW-13,TOF-DW-37
1,TOF-N-2,TOF-N-26,TOF-S-6,TOF-S-30,TOF-UP-10,TOF-UP-34,TOF-DW-14,TOF-DW-38
2,TOF-N-3,TOF-N-27,TOF-S-7,TOF-S-31,TOF-UP-11,TOF-UP-35,TOF-DW-15,TOF-DW-39
3,TOF-N-4,TOF-N-28,TOF-S-8,TOF-S-32,TOF-UP-12,TOF-UP-36,TOF-DW-16,TOF-DW-40
4,TOF-N-5,TOF-N-29,TOF-S-9,TOF-S-33,TOF-UP-13,TOF-UP-37,TOF-DW-17,TOF-DW-41
5,TOF-N-6,TOF-N-30,TOF-S-10,TOF-S-34,TOF-UP-14,TOF-UP-38,TOF-DW-18,TOF-DW-42
6,TOF-N-7,TOF-N-31,TOF-S-11,TOF-S-35,TOF-UP-15,TOF-UP-39,TOF-DW-19,TOF-DW-43
7,TOF-N-8,TOF-N-32,TOF-S-12,TOF-S-36,TOF-UP-16,TOF-UP-40,TOF-DW-20,TOF-DW-44
8,TOF-N-9,TOF-N-33,TOF-S-13,TOF-S-37,TOF-UP-17,TOF-UP-41,TOF-DW-21,TOF-N-45
9,TOF-N-10,TOF-N-34,TOF-S-14,TOF-S-38,TOF-UP-18,TOF-UP-42,TOF-DW-22,TOF-N-46
10,TOF-N-11,TOF-N-35,TOF-S-15,TOF-S-39,TOF-UP-19,TOF-UP-43,TOF-DW-23,TOF-S-45
11,TOF-N-12,TOF-N-36,TOF-S-16,TOF-S-40,TOF-UP-20,TOF-UP-44,TOF-DW-24,TOF-S-46
12,TOF-N-13,TOF-N-37,TOF-S-17,TOF-S-41,TOF-UP-21,TOF-DW-1,TOF-DW-25,TOF-UP-45
13,TOF-N-14,TOF-N-38,TOF-S-18,TOF-S-42,TOF-UP-22,TOF-DW-2,TOF-DW-26,TOF-UP-46
14,TOF-N-15,TOF-N-39,TOF-S-19,TOF-S-43,TOF-UP-23,TOF-DW-3,TOF-DW-27,TOF-DW-45
15,TOF-N-16,TOF-N-40,TOF-S-20,TOF-S-44,TOF-UP-24,TOF-DW-4,TOF-DW-28,TOF-DW-46
16,TOF-N-17,TOF-N-41,TOF-S-21,TOF-UP-1,TOF-UP-25,TOF-DW-5,TOF-DW-29,FCAL-TOP-COS-N
17,TOF-N-18,TOF-N-42,TOF-S-22,TOF-UP-2,TOF-UP-26,TOF-DW-6,TOF-DW-30,FCAL-BOT-COS-N
18,TOF-N-19,TOF-N-43,TOF-S-23,TOF-UP-3,TOF-UP-27,TOF-DW-7,TOF-DW-31,FCAL_TOP-COS-S
19,TOF-N-20,TOF-N-44,TOF-S-24,TOF-UP-4,TOF-UP-28,TOF-DW-8,TOF-DW-32,FCAL-BOT-COS-S
20,TOF-N-21,TOF-S-1,TOF-S-25,TOF-UP-5,TOF-UP-29,TOF-DW-9,TOF-DW-33,TAC
21,TOF-N-22,TOF-S-2,TOF-S-26,TOF-UP-6,TOF-UP-30,TOF-DW-10,TOF-DW-34,LUM1
22,TOF-N-23,TOF-S-3,TOF-S-27,TOF-UP-7,TOF-UP-31,TOF-DW-11,TOF-DW-35,SPARE
23,TOF-N-24,TOF-S-4,TOF-S-28,TOF-UP-8,TOF-UP-32,TOF-DW-12,TOF-DW-36,SPARE
