# west on floor = top on gluex
1 ZQ2499 H10534MOD down TOF-UP-1 X-01 +1
2 ZQ2486 H10534MOD up TOF-UP-2 X-02 +1
3 ZQ2295 H10534MOD down TOF-UP-3 X-03 +1
4 ZQ2696 H10534MOD up TOF-UP-4 X-04 +1
5 ZQ2263 H10534MOD down TOF-UP-5 X-05 +1
6 ZQ2754 H10534MOD up TOF-UP-6 X-06 +1
7 ZQ2675 H10534MOD down TOF-UP-7 X-07 +1
8 ZQ2820 H10534MOD up TOF-UP-8 X-08 +1
9 ZQ2789 H10534MOD down TOF-UP-9 X-09 +1
10 ZQ2841 H10534MOD up TOF-UP-10 X-10 +1
11 ZQ2645 H10534MOD down TOF-UP-11 X-11 +1
12 ZQ2770 H10534MOD up TOF-UP-12 X-12 +1
13 ZQ3011 H10534MOD down TOF-UP-13 X-13 +1
14 ZQ2627 H10534MOD up TOF-UP-14 X-14 +1
15 ZQ2759 H10534MOD down TOF-UP-15 X-15 +1
16 ZQ3036 H10534MOD up TOF-UP-16 X-16 +1
17 ZQ2605 H10534MOD down TOF-UP-17 X-17 +1
18 ZQ2819 H10534MOD up TOF-UP-18 X-IN-1 +1
19 ZQ2655 H10534MOD down TOF-UP-19 X-IN-2 +1
20 ZQ2658 H10534MOD up TOF-UP-20 X-IN-3 +1
21 ZQ2614 H10534MOD down TOF-UP-21 X-IN-4 +1
22 ZQ3054 H10534MOD up TOF-UP-22 X-IN-5R +1
23 ZQ3128 H10534MOD down TOF-UP-45 X-IN-6R +1
24 ZQ3069 H10534MOD up TOF-UP-46 X-IN-7R +1
25 WA0491 H13795MOD down TOF-UP-23 X-IN-8R +1
26 ZQ2635 H10534MOD up TOF-UP-24 X-IN-9 +1
27 ZQ2640 H10534MOD down TOF-UP-25 X-IN-10 +1
28 WA0521 H13795MOD up TOF-UP-26 X-IN-11 +1
29 ZQ2963 H10534MOD down TOF-UP-27 X-IN-12 +1
30 ZQ2654 H10534MOD up TOF-UP-28 X-28 +1
31 ZQ2732 H10534MOD down TOF-UP-29 X-29 +1
32 ZQ3020 H10534MOD up TOF-UP-30 X-30 +1
33 ZQ2767 H10534MOD down TOF-UP-31 X-31 +1
34 ZQ2794 H10534MOD up TOF-UP-32 X-32 +1
35 ZQ2638 H10534MOD down TOF-UP-33 X-33 +1
36 ZQ2521 H10534MOD up TOF-UP-34 X-34 +1
37 ZQ2257 H10534MOD down TOF-UP-35 X-35 +1
38 ZQ2571 H10534MOD up TOF-UP-36 X-36 +1
